Loaded 1 labels
java.io.FileNotFoundException: D:\datasets\hotdog\train\train.txt (The system cannot find the file specified)
Loaded 1 labels
Loaded 498 images
Loaded 1 labels
Loaded 498 images
Loaded 1 labels
Loaded 498 images
------------------------------------------------------------------------------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------------------------------------------------------------------------------
Epoch:1, Time:4185ms, TrainError:0.7186782, TrainErrorChange:0.7186782, TrainAccuracy: 0.5
Epoch:2, Time:3817ms, TrainError:0.7053254, TrainErrorChange:-0.013352752, TrainAccuracy: 0.5
Epoch:3, Time:3672ms, TrainError:0.69984627, TrainErrorChange:-0.005479157, TrainAccuracy: 0.5
Epoch:4, Time:3809ms, TrainError:0.6945722, TrainErrorChange:-0.0052740574, TrainAccuracy: 0.5
Epoch:5, Time:3664ms, TrainError:0.68910396, TrainErrorChange:-0.0054682493, TrainAccuracy: 0.50401604
Epoch:6, Time:3808ms, TrainError:0.6837897, TrainErrorChange:-0.0053142905, TrainAccuracy: 0.50803214
Epoch:7, Time:3694ms, TrainError:0.67832583, TrainErrorChange:-0.0054638386, TrainAccuracy: 0.5261044
Epoch:8, Time:3709ms, TrainError:0.6728799, TrainErrorChange:-0.005445957, TrainAccuracy: 0.5562249
Epoch:9, Time:3691ms, TrainError:0.6676562, TrainErrorChange:-0.0052236915, TrainAccuracy: 0.5803213
Epoch:10, Time:3661ms, TrainError:0.6630127, TrainErrorChange:-0.0046435, TrainAccuracy: 0.5943775
Epoch:11, Time:3669ms, TrainError:0.657833, TrainErrorChange:-0.0051797032, TrainAccuracy: 0.6084337
Epoch:12, Time:3662ms, TrainError:0.6528499, TrainErrorChange:-0.0049830675, TrainAccuracy: 0.61044174
Epoch:13, Time:3676ms, TrainError:0.6481978, TrainErrorChange:-0.004652083, TrainAccuracy: 0.6204819
Epoch:14, Time:3649ms, TrainError:0.64444464, TrainErrorChange:-0.0037531853, TrainAccuracy: 0.62249
Epoch:15, Time:3678ms, TrainError:0.6402084, TrainErrorChange:-0.0042362213, TrainAccuracy: 0.62249
Epoch:16, Time:3773ms, TrainError:0.63592964, TrainErrorChange:-0.004278779, TrainAccuracy: 0.62851405
Epoch:17, Time:3676ms, TrainError:0.63110465, TrainErrorChange:-0.004824996, TrainAccuracy: 0.6204819
Epoch:18, Time:3695ms, TrainError:0.6277931, TrainErrorChange:-0.0033115745, TrainAccuracy: 0.6365462
Epoch:19, Time:3752ms, TrainError:0.62129825, TrainErrorChange:-0.00649482, TrainAccuracy: 0.6385542
Epoch:20, Time:3711ms, TrainError:0.6150823, TrainErrorChange:-0.00621593, TrainAccuracy: 0.64056224
Epoch:21, Time:3672ms, TrainError:0.6087814, TrainErrorChange:-0.006300926, TrainAccuracy: 0.6385542
Epoch:22, Time:3859ms, TrainError:0.6069874, TrainErrorChange:-0.0017939806, TrainAccuracy: 0.64056224
Epoch:23, Time:4023ms, TrainError:0.59526277, TrainErrorChange:-0.011724651, TrainAccuracy: 0.6345382
Epoch:24, Time:4149ms, TrainError:0.59468865, TrainErrorChange:-5.7411194E-4, TrainAccuracy: 0.62851405
Epoch:25, Time:4005ms, TrainError:0.59873027, TrainErrorChange:0.004041612, TrainAccuracy: 0.60240966
Epoch:26, Time:3698ms, TrainError:0.58237714, TrainErrorChange:-0.01635313, TrainAccuracy: 0.6365462
Epoch:27, Time:3781ms, TrainError:0.572063, TrainErrorChange:-0.010314107, TrainAccuracy: 0.6064257
Epoch:28, Time:4143ms, TrainError:0.5641811, TrainErrorChange:-0.007881939, TrainAccuracy: 0.6124498
Epoch:29, Time:4243ms, TrainError:0.55224967, TrainErrorChange:-0.011931419, TrainAccuracy: 0.6124498
Epoch:30, Time:4137ms, TrainError:0.5490215, TrainErrorChange:-0.0032281876, TrainAccuracy: 0.6345382
Epoch:31, Time:4103ms, TrainError:0.5394155, TrainErrorChange:-0.009606004, TrainAccuracy: 0.6485944
Epoch:32, Time:3866ms, TrainError:0.5452896, TrainErrorChange:0.0058740973, TrainAccuracy: 0.6526104
Epoch:33, Time:3747ms, TrainError:0.5364548, TrainErrorChange:-0.008834779, TrainAccuracy: 0.6546185
Epoch:34, Time:3676ms, TrainError:0.55665666, TrainErrorChange:0.020201862, TrainAccuracy: 0.6566265
Epoch:35, Time:3666ms, TrainError:0.5395673, TrainErrorChange:-0.017089367, TrainAccuracy: 0.67269075
Epoch:36, Time:3678ms, TrainError:0.51573783, TrainErrorChange:-0.02382946, TrainAccuracy: 0.6485944
Epoch:37, Time:3666ms, TrainError:0.49287978, TrainErrorChange:-0.022858053, TrainAccuracy: 0.6787149
